Flow ID: 192.168.1.45-192.168.1.7-55295-12001-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.9-55295-49544-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.217-59305-22-6, True Label: OS Scan, Predicted Label: OS Scan
Flow ID: 80.177.26.224-192.168.1.168-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.26-40729-2251-6, True Label: Ping Sweep, Predicted Label: Ping Sweep
Flow ID: 192.168.1.211-192.168.1.1-35470-53-17, True Label: DNS Flood, Predicted Label: DNS Flood
Flow ID: 192.168.1.211-192.168.1.1-34525-53-17, True Label: DNS Flood, Predicted Label: DNS Flood
Flow ID: 192.168.1.108-216.220.52.141-57744-8190-6, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-43217-53-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.9-55295-38063-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.168-140.125.60.237-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 200.201.204.153-192.168.1.168-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.81-54.235.156.79-37394-443-6, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.21-36498-406-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.9-55295-37721-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.167-40729-1149-6, True Label: Ping Sweep, Predicted Label: Ping Sweep
Flow ID: 192.168.1.211-192.168.1.1-55874-53-17, True Label: DNS Flood, Predicted Label: DNS Flood
Flow ID: 192.168.1.45-192.168.1.1-55295-17133-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.1-55295-62223-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.211-192.168.1.1-36494-53-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.81-108.138.109.12-59616-443-6, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.214-8.8.8.8-50014-53-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.10-55295-8653-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.172-31.13.71.51-56097-443-6, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.86-59094-5718-6, True Label: OS Scan, Predicted Label: OS Scan
Flow ID: 192.168.1.45-192.168.1.1-55295-19354-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.1-55295-21435-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 130.152.62.69-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.212-40808-1124-6, True Label: Vulnerability Scan, Predicted Label: Vulnerability Scan
Flow ID: 192.168.1.45-192.168.1.1-55295-53583-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.7-54.230.163.97-46246-443-6, True Label: Benign, Predicted Label: Benign
Flow ID: 166.104.123.167-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.211-192.168.1.1-58285-53-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.129-36498-31038-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.1-55295-35587-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 13.94.221.143-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 60.166.114.62-192.168.1.168-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.172-224.0.0.251-5353-5353-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.252-40729-1075-6, True Label: Ping Sweep, Predicted Label: Ping Sweep
Flow ID: 243.123.138.164-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.10-55295-42920-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.9-55295-57363-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.1-55295-3012-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.10-55295-38216-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.7-55295-36266-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.211-107.50.138.181-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.167-52646-1057-6, True Label: Vulnerability Scan, Predicted Label: Vulnerability Scan
Flow ID: 192.168.1.45-192.168.1.162-59094-1011-6, True Label: OS Scan, Predicted Label: OS Scan
Flow ID: 192.168.1.45-192.168.1.27-55551-39892-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.7-55295-1738-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 171.227.51.16-192.168.1.25-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.212-193.18.87.152-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 121.214.123.138-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.9-55295-22349-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.213-42640-14441-6, True Label: Vulnerability Scan, Predicted Label: Vulnerability Scan
Flow ID: 192.168.1.45-192.168.1.112-40729-6666-6, True Label: Ping Sweep, Predicted Label: Ping Sweep
Flow ID: 192.168.1.45-192.168.1.21-59094-1580-6, True Label: OS Scan, Predicted Label: OS Scan
Flow ID: 192.168.1.211-192.168.1.1-41726-53-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.81-239.255.255.250-60683-1900-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.81-40729-6667-6, True Label: Ping Sweep, Predicted Label: Ping Sweep
Flow ID: 192.168.1.81-44.194.254.66-43982-443-6, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.45-192.168.1.153-55551-14854-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.112-55551-37955-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.45-192.168.1.9-55295-6420-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 171.87.209.203-192.168.1.212-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.10-55295-27420-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.211-42.46.5.106-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 192.168.1.45-192.168.1.1-55295-41014-6, True Label: Port Scan, Predicted Label: Port Scan
Flow ID: 192.168.1.212-88.43.88.186-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 250.104.214.115-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
Flow ID: 162.27.255.236-192.168.1.211-0-0-0, True Label: ICMP Flood, Predicted Label: ICMP Flood
