line_number: 0, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 71, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 72, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 72, True Label: Mirai-udpplain, Predicted Label: DDoS-UDP_Flood
line_number: 73, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 73, True Label: Mirai-udpplain, Predicted Label: DDoS-UDP_Flood
line_number: 74, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 74, True Label: Mirai-udpplain, Predicted Label: DDoS-UDP_Flood
line_number: 75, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 76, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 77, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 77, True Label: Mirai-udpplain, Predicted Label: DDoS-UDP_Flood
line_number: 78, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 78, True Label: Mirai-udpplain, Predicted Label: DDoS-UDP_Flood
line_number: 79, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
line_number: 79, True Label: Mirai-udpplain, Predicted Label: DDoS-UDP_Flood
line_number: 80, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 80, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 81, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 81, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 82, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 82, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 83, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 83, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 84, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 84, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 85, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 85, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 86, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 86, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 87, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 87, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 88, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 88, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 89, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 89, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 90, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 91, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 92, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 93, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 94, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 95, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 96, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 97, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 98, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 99, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 100, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 100, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 101, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 101, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 102, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 102, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 103, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 103, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 104, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 104, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 105, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 105, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 106, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 106, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 107, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 107, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 108, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 108, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 109, True Label: DDoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 109, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 110, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 110, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 111, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 111, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 112, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 112, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 113, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 113, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 114, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 114, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 115, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 115, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 116, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 116, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 117, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 117, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 118, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 119, True Label: DDoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 119, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 120, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 121, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 122, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 123, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 124, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 125, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 126, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 127, True Label: BenignTraffic, Predicted Label: Recon-HostDiscovery
line_number: 128, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 129, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 130, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 131, True Label: MITM-ArpSpoofing, Predicted Label: DoS-UDP_Flood
line_number: 132, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 133, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 134, True Label: MITM-ArpSpoofing, Predicted Label: DoS-UDP_Flood
line_number: 134, True Label: MITM-ArpSpoofing, Predicted Label: DDoS-UDP_Flood
line_number: 135, True Label: MITM-ArpSpoofing, Predicted Label: DoS-UDP_Flood
line_number: 135, True Label: MITM-ArpSpoofing, Predicted Label: DDoS-UDP_Flood
line_number: 136, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 137, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 138, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 139, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 140, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 141, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 142, True Label: DDoS-ACK_Fragmentation, Predicted Label: DoS-TCP_Flood
line_number: 142, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-TCP_Flood
line_number: 143, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 144, True Label: DDoS-ACK_Fragmentation, Predicted Label: DoS-TCP_Flood
line_number: 144, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-TCP_Flood
line_number: 145, True Label: DDoS-ACK_Fragmentation, Predicted Label: DoS-TCP_Flood
line_number: 145, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-TCP_Flood
line_number: 146, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 147, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 148, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 149, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 150, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 151, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 152, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 153, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 154, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 155, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 156, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 157, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 158, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 159, True Label: Mirai-greip_flood, Predicted Label: Mirai-greeth_flood
line_number: 160, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 161, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 161, True Label: DoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 162, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 163, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 164, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 165, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 166, True Label: DoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 166, True Label: DoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 167, True Label: DoS-HTTP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 167, True Label: DoS-HTTP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 168, True Label: DoS-HTTP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 169, True Label: DoS-HTTP_Flood, Predicted Label: BenignTraffic
line_number: 170, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 171, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 172, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 173, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 174, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 175, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 176, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 177, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 178, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Flood
line_number: 179, True Label: DDoS-ICMP_Fragmentation, Predicted Label: DDoS-ICMP_Fragmentation
line_number: 180, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 181, True Label: Recon-PortScan, Predicted Label: DoS-TCP_Flood
line_number: 182, True Label: Recon-PortScan, Predicted Label: DoS-TCP_Flood
line_number: 183, True Label: Recon-PortScan, Predicted Label: DoS-SYN_Flood
line_number: 183, True Label: Recon-PortScan, Predicted Label: DDoS-SYN_Flood
line_number: 184, True Label: Recon-PortScan, Predicted Label: DoS-TCP_Flood
line_number: 184, True Label: Recon-PortScan, Predicted Label: DDoS-TCP_Flood
line_number: 185, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 186, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 187, True Label: Recon-PortScan, Predicted Label: DoS-TCP_Flood
line_number: 187, True Label: Recon-PortScan, Predicted Label: DDoS-TCP_Flood
line_number: 188, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 189, True Label: Recon-PortScan, Predicted Label: DoS-SYN_Flood
line_number: 189, True Label: Recon-PortScan, Predicted Label: DDoS-SYN_Flood
line_number: 190, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 191, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 192, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 193, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 194, True Label: DDoS-UDP_Fragmentation, Predicted Label: DoS-TCP_Flood
line_number: 195, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 196, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 197, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 198, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 199, True Label: DDoS-UDP_Fragmentation, Predicted Label: DDoS-UDP_Fragmentation
line_number: 200, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 201, True Label: Recon-OSScan, Predicted Label: DoS-SYN_Flood
line_number: 201, True Label: Recon-OSScan, Predicted Label: DDoS-SYN_Flood
line_number: 202, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 203, True Label: Recon-OSScan, Predicted Label: DoS-TCP_Flood
line_number: 204, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 205, True Label: Recon-OSScan, Predicted Label: DoS-SYN_Flood
line_number: 205, True Label: Recon-OSScan, Predicted Label: DDoS-SYN_Flood
line_number: 206, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 207, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 208, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 209, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 210, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 210, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-HTTP_Flood
line_number: 211, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-SlowLoris
line_number: 212, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 213, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 214, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 214, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 215, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 215, True Label: DDoS-HTTP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 216, True Label: DDoS-HTTP_Flood, Predicted Label: BenignTraffic
line_number: 217, True Label: DDoS-HTTP_Flood, Predicted Label: DoS-HTTP_Flood
line_number: 218, True Label: DDoS-HTTP_Flood, Predicted Label: BenignTraffic
line_number: 219, True Label: DDoS-HTTP_Flood, Predicted Label: BenignTraffic
line_number: 220, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 221, True Label: Recon-HostDiscovery, Predicted Label: DoS-TCP_Flood
line_number: 222, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 223, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 224, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 225, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 226, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 227, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 228, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 229, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 230, True Label: DDoS-SlowLoris, Predicted Label: BenignTraffic
line_number: 231, True Label: DDoS-SlowLoris, Predicted Label: BenignTraffic
line_number: 232, True Label: DDoS-SlowLoris, Predicted Label: DDoS-PSHACK_Flood
line_number: 233, True Label: DDoS-SlowLoris, Predicted Label: DDoS-PSHACK_Flood
line_number: 234, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
line_number: 235, True Label: DDoS-SlowLoris, Predicted Label: DDoS-SlowLoris
