line_number: 0, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 100, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 101, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 102, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 103, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 104, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 105, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 106, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 107, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 108, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greip_flood
line_number: 109, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 110, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 111, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 112, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 113, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 114, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 115, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 116, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 117, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 118, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 119, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 120, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 121, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 122, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 123, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 124, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 125, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 126, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 127, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 128, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 129, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 130, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 131, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 132, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 133, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 134, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 135, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 136, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 137, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 138, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 139, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SynonymousIP_Flood
line_number: 140, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 141, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 142, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 143, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 144, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 145, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 146, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 147, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 148, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 149, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 150, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 151, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 152, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 153, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 154, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 155, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 156, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 157, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 158, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 159, True Label: Mirai-udpplain, Predicted Label: Mirai-udpplain
line_number: 160, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 161, True Label: DDoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 162, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 163, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 164, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 165, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 166, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 167, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 168, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 169, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 170, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 171, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 172, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 173, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 174, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 175, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 176, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 177, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 178, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 179, True Label: DDoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 180, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 181, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 182, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 183, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 184, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 185, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 186, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 187, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 188, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 189, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 190, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 191, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 192, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 193, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 194, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 195, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 196, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 197, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 198, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 199, True Label: DDoS-PSHACK_Flood, Predicted Label: DDoS-PSHACK_Flood
line_number: 200, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 201, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 202, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 203, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 204, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 205, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 206, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 207, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 208, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 209, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 210, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 211, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 212, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 213, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 214, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 215, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 216, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 217, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 218, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 219, True Label: DDoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 220, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 221, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 222, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 223, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 224, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 225, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 226, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 227, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 228, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 229, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 230, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 231, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 232, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 233, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 234, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 235, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 236, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 237, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 238, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 239, True Label: DDoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 240, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 241, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 242, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 243, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 244, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 245, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 246, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 247, True Label: BenignTraffic, Predicted Label: Recon-HostDiscovery
line_number: 248, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 249, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 250, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 251, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 252, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 254, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 255, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 256, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 257, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 258, True Label: BenignTraffic, Predicted Label: Recon-HostDiscovery
line_number: 259, True Label: BenignTraffic, Predicted Label: BenignTraffic
line_number: 260, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 261, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 262, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 263, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 264, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 265, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 266, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 267, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 268, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 269, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 270, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 271, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 273, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 275, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 277, True Label: MITM-ArpSpoofing, Predicted Label: BenignTraffic
line_number: 278, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 279, True Label: MITM-ArpSpoofing, Predicted Label: MITM-ArpSpoofing
line_number: 280, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 281, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 282, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 283, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 284, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 285, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 286, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 287, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 288, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 289, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 290, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 291, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 292, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 293, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 295, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 296, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 297, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 298, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 299, True Label: DDoS-ACK_Fragmentation, Predicted Label: DDoS-ACK_Fragmentation
line_number: 300, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 302, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 303, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 304, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 305, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 306, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 307, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 308, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 309, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 310, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 311, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 312, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 313, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 314, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 315, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 316, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 317, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 318, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
line_number: 319, True Label: Mirai-greip_flood, Predicted Label: Mirai-greip_flood
