line_number: 360, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 444, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 445, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 446, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 447, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 448, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 449, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 450, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 451, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 452, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 453, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 454, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 455, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 456, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 457, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 458, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 459, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 480, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 481, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 482, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 483, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 484, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 485, True Label: Recon-PingSweep, Predicted Label: Recon-OSScan
line_number: 486, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 487, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 488, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 489, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 490, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 491, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 492, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 493, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 494, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 495, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
line_number: 496, True Label: Recon-PingSweep, Predicted Label: BenignTraffic
